,BTC,ETH,USDT,BNB,SOL,USDC,XRP,DOGE,TON,ADA,SHIB,AVAX,TRX,DOT,BCH,LINK,NEAR,MATIC,LTC,ICP
2024-02-26,1070743961954.77,381973378115.51,97980987109.86,60063016802.73,48496288090.04,28457002817.26,30103524035.43,12803818960.5,7430224299.28,21982191079.43,5943270709.68,14836816562.59,12313187773.62,10404026860.93,5402514786.48,11223154151.43,4272727180.81,10188754883.53,5341361250.05,5944676273.0
2024-02-25,1015926591604.23,374009336729.28,97901318957.19,58105243467.07,45631391775.02,28180925305.62,29613270171.04,12331469933.45,7354857599.17,20976354319.89,5696358966.09,14125113515.94,12111553195.27,10167219353.8,5263303542.12,10981490875.76,3866208936.87,9601550941.3,5203321034.01,5726503084.8
2024-02-24,1012689168467.94,359554764533.4,97916608981.56,57083248843.19,45931500095.34,28145378090.62,29760314823.91,12338467668.16,7319215904.86,21164972428.33,5683290976.75,13856656312.78,12097133863.43,10018258575.44,5259845346.41,10876825331.34,4024560291.5,9569643944.71,5225709028.02,5748314445.6
2024-02-23,996165857694.38,351061910874.88,97833302915.56,56126502360.89,44076070574.79,28077895536.11,29182486551.24,12090722317.12,7204262564.51,20686537316.18,5608156263.36,13550928644.63,12162814488.71,9699717327.86,5198354599.64,10532043879.09,3497145042.22,9502540644.35,5109720881.1,5682570303.03
2024-02-22,1007369631450.12,356999419254.14,97779217857.68,57127107818.45,44832523183.21,27982932256.66,29511530686.83,12040161012.48,7232492879.94,20778727658.03,5616920247.15,13860799187.08,12228827131.94,9593636584.45,5112108040.69,10634114781.31,3379195378.75,9535281396.24,5104738418.64,5847673743.93
2024-02-21,1017814980562.83,356926554787.34,97819616842.0,56607899904.41,46343257302.27,28075571928.7,29952888788.0,12114316107.87,7372564171.53,21221754764.37,5625334681.05,13842518281.9,12300288629.33,9571980582.44,5169960801.56,10909641099.25,3376665306.99,9145324870.64,5117333691.17,6057584071.03
2024-02-20,1026519013526.24,362116088266.69,97724032660.67,53067748004.6,47813443199.68,27962784912.85,30712238626.21,12331894250.87,7669731573.46,22062453949.62,5753477397.34,14160216609.28,12261035063.66,9908563960.86,5215702488.87,11328208600.4,3541111087.53,9869792572.55,5170340445.37,6316561972.38
2024-02-19,1016544621994.0,353716174190.18,97697067072.54,52610674850.75,49133757690.38,28049271867.46,30694512829.55,12807915068.93,7873427064.55,22377978714.82,5827408265.27,14510892589.11,12006062909.66,10284628453.09,5365540488.66,11636677709.74,3677848827.93,9584028144.42,5293066989.2,6691935552.23
2024-02-18,1023243073518.32,345956120895.87,97680515793.24,52292631102.25,49437771948.54,28071806087.35,30383851331.45,12189771221.39,7874082418.77,21939454590.38,5739236736.99,14794499445.78,11902962584.7,10052150397.8,5312499753.96,11798659184.07,3658829239.62,9608383599.49,5249635586.99,6264510822.95
2024-02-17,1014181383158.99,334860860581.61,97633241551.74,52775434375.8,48018264807.22,28115762807.82,30001024225.98,11963477911.63,7735615555.36,21568824454.9,5673646573.37,14613339261.03,11965465827.47,9902654860.54,5253392898.79,11762317338.88,3466292750.39,8932638999.39,5194421942.6,6049504395.52
2024-02-16,1023893671410.46,336907249920.48,97519514899.13,53969202987.28,48651395018.09,28107118360.2,30823413930.69,12308620731.04,7461526156.27,21230838577.6,5825717390.16,14815057117.63,11704716427.29,9799764313.28,5398529231.36,11490928576.12,3412170817.88,9163765858.77,5240744491.56,6024675145.21
2024-02-15,1019499948270.3,339396902035.85,97208464334.11,53045138824.34,50087587751.22,28106097159.11,30703126151.99,12213405035.45,7652066415.2,21567287671.13,5821513222.21,15286493654.59,11550945921.42,9951130366.13,5316680515.67,11712280499.84,3534621482.51,8559635881.78,5180698409.31,6196209598.35
